MB,delay,tcp_size,parallel_buffer,N,run,seconds
10240,60,big,50,3,6,15.8259761333
10240,60,big,50,3,7,15.3132100105
10240,60,big,50,3,8,15.9476799965
10240,60,big,50,3,9,15.2973630428
10240,60,big,75,3,1,16.0517301559
10240,60,big,75,3,2,20.020075798
10240,60,big,75,3,3,15.3845748901
10240,60,big,75,3,4,16.2818830013
10240,60,big,75,3,5,16.487347126
10240,60,big,75,3,6,15.2754600048
10240,60,big,75,3,7,16.1547298431
10240,60,big,75,3,8,15.8578081131
10240,60,big,75,3,9,16.5538990498
10240,60,big,100,3,1,16.291105032
10240,60,big,100,3,2,16.007789135
10240,60,big,100,3,3,15.4194729328
10240,60,big,100,3,4,15.8507559299
10240,60,big,100,3,5,15.9164760113
10240,60,big,100,3,6,15.5557291508
10240,60,big,100,3,7,15.1862170696
10240,60,big,100,3,8,15.423956871
10240,60,big,100,3,9,15.427036047
10240,60,big,200,3,1,20.1806240082
10240,60,big,200,3,2,15.3180420399
10240,60,big,200,3,3,15.7834439278
10240,60,big,200,3,4,15.1967761517
10240,60,big,200,3,5,16.2932341099
10240,60,big,200,3,6,16.0544729233
10240,60,big,200,3,7,15.5629649162
10240,60,big,200,3,8,15.9506340027
10240,60,big,200,3,9,16.3608620167
10240,60,big,400,3,1,15.3746740818
10240,60,big,400,3,2,15.7766909599
10240,60,big,400,3,3,16.3672459126
10240,60,big,400,3,4,15.7055361271
10240,60,big,400,3,5,16.2776429653
10240,60,big,400,3,6,18.7096219063
10240,60,big,400,3,7,15.4501678944
10240,60,big,400,3,8,20.0452649593
10240,60,big,400,3,9,18.8072578907
10240,70,big,4,3,1,16.2839150429
10240,70,big,4,3,2,16.3835878372
10240,70,big,4,3,3,16.2687990665
10240,70,big,4,3,4,21.6536428928
10240,70,big,4,3,5,20.1875619888
10240,70,big,4,3,6,16.8086550236
10240,70,big,4,3,7,16.512004137
10240,70,big,4,3,8,26.343611002
10240,70,big,4,3,9,16.2463080883
10240,70,big,10,3,1,16.533105135
10240,70,big,10,3,2,21.542057991
10240,70,big,10,3,3,16.4787828922
10240,70,big,10,3,4,16.5030200481
10240,70,big,10,3,5,16.3576350212
10240,70,big,10,3,6,16.7386848927
10240,70,big,10,3,7,16.5771870613
10240,70,big,10,3,8,16.7305538654
10240,70,big,10,3,9,16.4769580364
10240,70,big,25,3,1,17.029613018
10240,70,big,25,3,2,17.1077408791
10240,70,big,25,3,3,17.0895321369
10240,70,big,25,3,4,17.192332983
10240,70,big,25,3,5,17.2716810703
10240,70,big,25,3,6,17.1272940636
10240,70,big,25,3,7,22.5215799809
10240,70,big,25,3,8,17.295249939
10240,70,big,25,3,9,17.1458010674
10240,70,big,50,3,1,18.2491629124
10240,70,big,50,3,2,17.4218051434
10240,70,big,50,3,3,17.9805390835
10240,70,big,50,3,4,17.6698970795
10240,70,big,50,3,5,17.7551119328
10240,70,big,50,3,6,18.167910099
10240,70,big,50,3,7,17.6633379459
10240,70,big,50,3,8,17.4535050392
10240,70,big,50,3,9,17.5096011162
10240,70,big,75,3,1,18.2169640064
10240,70,big,75,3,2,18.3032329082
10240,70,big,75,3,3,17.2624468803
10240,70,big,75,3,4,18.1795940399
10240,70,big,75,3,5,17.9847540855
10240,70,big,75,3,6,22.680341959
10240,70,big,75,3,7,17.9705331326
10240,70,big,75,3,8,17.3803939819
10240,70,big,75,3,9,17.3015139103
10240,70,big,100,3,1,18.208272934
10240,70,big,100,3,2,17.93638587
10240,70,big,100,3,3,17.409870863
10240,70,big,100,3,4,17.8899190426
10240,70,big,100,3,5,17.5841290951
10240,70,big,100,3,6,17.7311811447
10240,70,big,100,3,7,18.2046830654
10240,70,big,100,3,8,17.8010840416
10240,70,big,100,3,9,22.5930049419
10240,70,big,200,3,1,17.3411390781
10240,70,big,200,3,2,18.2831790447
10240,70,big,200,3,3,19.4804940224
10240,70,big,200,3,4,17.2613229752
10240,70,big,200,3,5,17.7677359581
10240,70,big,200,3,6,17.7927858829
10240,70,big,200,3,7,17.3078408241
10240,70,big,200,3,8,17.6733870506
10240,70,big,200,3,9,17.3267569542
10240,70,big,400,3,1,18.1465280056
10240,70,big,400,3,2,18.0959877968
10240,70,big,400,3,3,18.2328429222
10240,70,big,400,3,4,17.3644108772
10240,70,big,400,3,5,17.3224160671
10240,70,big,400,3,6,18.0886600018
10240,70,big,400,3,7,17.3974649906
10240,70,big,400,3,8,17.4020760059
10240,70,big,400,3,9,20.0103881359
10240,80,big,4,3,1,18.3702740669
10240,80,big,4,3,2,23.6652870178
10240,80,big,4,3,3,18.5944240093
10240,80,big,4,3,4,22.466381073
10240,80,big,4,3,5,18.6835811138
10240,80,big,4,3,6,18.3112950325
10240,80,big,4,3,7,18.3964159489
10240,80,big,4,3,8,18.4242069721
10240,80,big,4,3,9,21.833245039
10240,80,big,10,3,1,18.4751660824
10240,80,big,10,3,2,18.577149868
10240,80,big,10,3,3,18.8027861118
10240,80,big,10,3,4,18.6211998463
10240,80,big,10,3,5,18.7553229332
10240,80,big,10,3,6,18.8036491871
10240,80,big,10,3,7,18.5878279209
10240,80,big,10,3,8,18.5439209938
10240,80,big,10,3,9,18.6613371372
10240,80,big,25,3,1,19.3595290184
10240,80,big,25,3,2,24.5888059139
10240,80,big,25,3,3,19.2292737961
10240,80,big,25,3,4,19.6583001614
10240,80,big,25,3,5,19.2509579659
10240,80,big,25,3,6,22.6172521114
10240,80,big,25,3,7,24.8376810551
10240,80,big,25,3,8,18.8926079273
10240,80,big,25,3,9,18.9370079041
10240,80,big,50,3,1,25.1470918655
10240,80,big,50,3,2,19.5563428402
10240,80,big,50,3,3,19.6878948212
10240,80,big,50,3,4,19.3629689217
10240,80,big,50,3,5,19.7829899788
10240,80,big,50,3,6,20.1228570938
10240,80,big,50,3,7,19.6493229866
10240,80,big,50,3,8,19.5836400986
10240,80,big,50,3,9,19.3189418316
10240,80,big,75,3,1,19.6649849415
10240,80,big,75,3,2,19.4875199795
10240,80,big,75,3,3,19.3806040287
10240,80,big,75,3,4,19.7663829327
10240,80,big,75,3,5,20.1105120182
10240,80,big,75,3,6,19.5342268944
10240,80,big,75,3,7,19.5245900154
10240,80,big,75,3,8,20.0265860558
10240,80,big,75,3,9,19.5140829086
10240,80,big,100,3,1,19.9715578556
10240,80,big,100,3,2,19.7577278614
10240,80,big,100,3,3,19.6000220776
10240,80,big,100,3,4,20.0195410252
10240,80,big,100,3,5,19.9009230137
10240,80,big,100,3,6,19.5417330265
10240,80,big,100,3,7,20.1605899334
10240,80,big,100,3,8,20.0698390007
10240,80,big,100,3,9,19.7276949883
10240,80,big,200,3,1,19.2318880558
10240,80,big,200,3,2,19.4552021027
10240,80,big,200,3,3,19.4624009132
10240,80,big,200,3,4,19.6744990349
10240,80,big,200,3,5,19.9126310349
10240,80,big,200,3,6,19.4260261059
10240,80,big,200,3,7,24.8622322083
10240,80,big,200,3,8,23.3976790905
10240,80,big,200,3,9,19.5070309639
10240,80,big,400,3,1,19.6394600868
10240,80,big,400,3,2,19.8800590038
10240,80,big,400,3,3,19.6384749413
10240,80,big,400,3,4,19.6554729939
10240,80,big,400,3,5,19.4891569614
10240,80,big,400,3,6,19.5309169292
10240,80,big,400,3,7,19.4124591351
10240,80,big,400,3,8,20.0609710217
10240,80,big,400,3,9,19.6604158878
10240,90,big,4,3,1,20.5189518929
10240,90,big,4,3,2,20.7689890862
10240,90,big,4,3,3,20.7829730511
10240,90,big,4,3,4,20.3741350174
10240,90,big,4,3,5,20.5726459026
10240,90,big,4,3,6,26.2180550098
10240,90,big,4,3,7,20.403015852
10240,90,big,4,3,8,26.7934370041
10240,90,big,4,3,9,24.3588681221
10240,90,big,10,3,1,20.6246140003
10240,90,big,10,3,2,20.6562960148
10240,90,big,10,3,3,20.9673168659
10240,90,big,10,3,4,20.6841030121
10240,90,big,10,3,5,20.4781110287
10240,90,big,10,3,6,21.0283000469
10240,90,big,10,3,7,20.9134800434
10240,90,big,10,3,8,20.7801601887
10240,90,big,10,3,9,26.3430318832
10240,90,big,25,3,1,20.8887820244
10240,90,big,25,3,2,21.5256819725
10240,90,big,25,3,3,21.5347878933
10240,90,big,25,3,4,21.359128952
10240,90,big,25,3,5,21.5104899406
10240,90,big,25,3,6,20.8813431263
10240,90,big,25,3,7,21.3715279102
10240,90,big,25,3,8,20.962690115
10240,90,big,25,3,9,21.2650010586
10240,90,big,50,3,1,22.177467823
10240,90,big,50,3,2,21.6537981033
10240,90,big,50,3,3,21.4644498825
10240,90,big,50,3,4,21.3175599575
10240,90,big,50,3,5,21.4402151108
10240,90,big,50,3,6,21.8287799358
10240,90,big,50,3,7,22.0293519497
10240,90,big,50,3,8,21.3307511806
10240,90,big,50,3,9,22.084179163
10240,90,big,75,3,1,22.2210569382
10240,90,big,75,3,2,21.9851498604
10240,90,big,75,3,3,29.4044041634
10240,90,big,75,3,4,21.7427799702
10240,90,big,75,3,5,21.2411279678
10240,90,big,75,3,6,21.4647710323
10240,90,big,75,3,7,21.980877161
10240,90,big,75,3,8,22.0716838837
10240,90,big,75,3,9,21.576613903
10240,90,big,100,3,1,21.6888468266
10240,90,big,100,3,2,26.4717969894
10240,90,big,100,3,3,21.7262439728
10240,90,big,100,3,4,22.2056350708
10240,90,big,100,3,5,21.3307890892
10240,90,big,100,3,6,21.227905035
10240,90,big,100,3,7,21.4326570034
10240,90,big,100,3,8,21.7224590778
10240,90,big,100,3,9,22.0448191166
10240,90,big,200,3,1,21.9260790348
10240,90,big,200,3,2,21.4713170528
10240,90,big,200,3,3,21.5726571083
10240,90,big,200,3,4,21.838176012
10240,90,big,200,3,5,26.5958690643
10240,90,big,200,3,6,21.7525920868
10240,90,big,200,3,7,21.1968588829
10240,90,big,200,3,8,21.5137889385
10240,90,big,200,3,9,21.2527959347
10240,90,big,400,3,1,22.1320228577
10240,90,big,400,3,2,21.8144521713
10240,90,big,400,3,3,21.3344099522
10240,90,big,400,3,4,27.2762200832
10240,90,big,400,3,5,22.1121220589
10240,90,big,400,3,6,21.8317909241
10240,90,big,400,3,7,21.7302110195
10240,90,big,400,3,8,22.0014569759
10240,90,big,400,3,9,21.3270409107
10240,100,big,4,3,1,22.442497015
10240,100,big,4,3,2,22.6429121494
10240,100,big,4,3,3,22.4122638702
10240,100,big,4,3,4,26.463946104
10240,100,big,4,3,5,22.5518019199
10240,100,big,4,3,6,22.4331269264
10240,100,big,4,3,7,22.6938529015
10240,100,big,4,3,8,36.1304249763
10240,100,big,4,3,9,22.5310428143
10240,100,big,10,3,1,22.7432701588
10240,100,big,10,3,2,22.7241668701
10240,100,big,10,3,3,23.004655838
10240,100,big,10,3,4,22.8692998886
10240,100,big,10,3,5,22.443956852
10240,100,big,10,3,6,22.7592849731
10240,100,big,10,3,7,22.607681036
10240,100,big,10,3,8,29.0993850231
10240,100,big,10,3,9,23.3081920147
10240,100,big,25,3,1,23.2856838703
10240,100,big,25,3,2,23.5229260921
10240,100,big,25,3,3,23.5030441284
10240,100,big,25,3,4,23.2992219925
10240,100,big,25,3,5,23.5475540161
10240,100,big,25,3,6,23.4193041325
10240,100,big,25,3,7,23.5126340389
10240,100,big,25,3,8,27.8409738541
10240,100,big,25,3,9,23.2448129654
10240,100,big,50,3,1,37.151569128
10240,100,big,50,3,2,23.9584531784
10240,100,big,50,3,3,23.8683731556
10240,100,big,50,3,4,24.4043598175
10240,100,big,50,3,5,24.0678489208
10240,100,big,50,3,6,23.9060909748
10240,100,big,50,3,7,24.0370550156
10240,100,big,50,3,8,24.2379698753
10240,100,big,50,3,9,24.2717039585
10240,100,big,75,3,1,24.8019680977
10240,100,big,75,3,2,23.4924468994
10240,100,big,75,3,3,24.1013259888
10240,100,big,75,3,4,24.6470220089
10240,100,big,75,3,5,23.7349591255
10240,100,big,75,3,6,23.9303240776
10240,100,big,75,3,7,23.8584070206
10240,100,big,75,3,8,23.5244970322
10240,100,big,75,3,9,23.90447402
10240,100,big,100,3,1,23.7114598751
10240,100,big,100,3,2,23.3490078449
10240,100,big,100,3,3,23.6878600121
10240,100,big,100,3,4,23.5788559914
10240,100,big,100,3,5,23.5950670242
10240,100,big,100,3,6,24.7465419769
10240,100,big,100,3,7,23.8970580101
10240,100,big,100,3,8,24.3603210449
10240,100,big,100,3,9,24.3580241203
10240,100,big,200,3,1,23.9822049141
10240,100,big,200,3,2,23.7967410088
10240,100,big,200,3,3,24.3199238777
10240,100,big,200,3,4,23.6027519703
10240,100,big,200,3,5,23.9115278721
10240,100,big,200,3,6,29.220749855
10240,100,big,200,3,7,24.1758589745
10240,100,big,200,3,8,24.2989640236
10240,100,big,200,3,9,23.7547848225
10240,100,big,400,3,1,24.196641922
10240,100,big,400,3,2,23.8986010551
10240,100,big,400,3,3,23.3732120991
10240,100,big,400,3,4,23.7540500164
10240,100,big,400,3,5,23.7915380001
10240,100,big,400,3,6,24.6817028522
10240,100,big,400,3,7,23.5702300072
10240,100,big,400,3,8,24.4627380371
10240,100,big,400,3,9,24.0517799854
10240,200,big,4,3,1,42.5897960663
10240,200,big,4,3,2,43.0728168488
10240,200,big,4,3,3,42.9512681961
10240,200,big,4,3,4,43.8112459183
10240,200,big,4,3,5,43.3477830887
10240,200,big,4,3,6,48.3436369896
10240,200,big,4,3,7,42.8283228874
10240,200,big,4,3,8,43.0171720982
10240,200,big,4,3,9,43.1337468624
10240,200,big,10,3,1,44.248926878
10240,200,big,10,3,2,42.9644129276
10240,200,big,10,3,3,43.7711529732
10240,200,big,10,3,4,47.9383978844
10240,200,big,10,3,5,43.3430159092
10240,200,big,10,3,6,43.6209590435
10240,200,big,10,3,7,43.5230979919
10240,200,big,10,3,8,42.7992188931
10240,200,big,10,3,9,42.7206149101
10240,200,big,25,3,1,45.4737129211
10240,200,big,25,3,2,44.0826170444
10240,200,big,25,3,3,43.7831499577
10240,200,big,25,3,4,44.3407280445
10240,200,big,25,3,5,43.3911058903
10240,200,big,25,3,6,44.1019468307
10240,200,big,25,3,7,44.320734024
10240,200,big,25,3,8,44.3937299252
10240,200,big,25,3,9,43.463588953
10240,200,big,50,3,1,44.6905469894
10240,200,big,50,3,2,47.1008758545
10240,200,big,50,3,3,44.105080843
10240,200,big,50,3,4,44.7460370064
10240,200,big,50,3,5,44.0843172073
10240,200,big,50,3,6,44.3463931084
10240,200,big,50,3,7,48.0488820076
10240,200,big,50,3,8,44.7590692043
10240,200,big,50,3,9,44.9587459564
10240,200,big,75,3,1,44.2931718826
10240,200,big,75,3,2,44.0022330284
10240,200,big,75,3,3,45.3264138699
10240,200,big,75,3,4,44.2345759869
10240,200,big,75,3,5,44.8806750774
10240,200,big,75,3,6,45.3250079155
10240,200,big,75,3,7,44.800773859
10240,200,big,75,3,8,44.3219330311
10240,200,big,75,3,9,44.5948560238
10240,200,big,100,3,1,44.3781130314
10240,200,big,100,3,2,44.1688289642
10240,200,big,100,3,3,44.6080520153
10240,200,big,100,3,4,44.0141949654
10240,200,big,100,3,5,44.8734500408
10240,200,big,100,3,6,44.7717039585
10240,200,big,100,3,7,48.7321190834
10240,200,big,100,3,8,44.6952459812
10240,200,big,100,3,9,83.131275177
10240,200,big,200,3,1,44.6073348522
10240,200,big,200,3,2,44.5605149269
10240,200,big,200,3,3,45.0548141003
10240,200,big,200,3,4,44.1866748333
10240,200,big,200,3,5,48.0130047798
10240,200,big,200,3,6,44.5440051556
10240,200,big,200,3,7,44.1396770477
10240,200,big,200,3,8,43.6240580082
10240,200,big,200,3,9,44.8350429535
10240,200,big,400,3,1,44.8581860065
10240,200,big,400,3,2,44.8458750248
10240,200,big,400,3,3,44.0428860188
10240,200,big,400,3,4,44.9977259636
10240,200,big,400,3,5,44.6603341103
10240,200,big,400,3,6,44.1781280041
10240,200,big,400,3,7,44.3970460892
10240,200,big,400,3,8,44.5636429787
10240,200,big,400,3,9,44.8008520603
10240,300,big,4,3,1,63.6886110306
10240,300,big,4,3,2,68.4606628418
10240,300,big,4,3,3,63.9962339401
10240,300,big,4,3,4,63.6003830433
10240,300,big,4,3,5,63.3715319633
10240,300,big,4,3,6,63.0236442089
10240,300,big,4,3,7,63.6344261169
10240,300,big,4,3,8,63.59252882
10240,300,big,4,3,9,68.1821780205
10240,300,big,10,3,1,63.9148387909
10240,300,big,10,3,2,64.1179461479
10240,300,big,10,3,3,63.3228759766
10240,300,big,10,3,4,69.0287439823
10240,300,big,10,3,5,63.4492578506
10240,300,big,10,3,6,63.562048912
10240,300,big,10,3,7,85.0330629349
10240,300,big,10,3,8,69.2397150993
10240,300,big,10,3,9,64.0358221531
10240,300,big,25,3,1,64.5389699936
10240,300,big,25,3,2,64.319934845
10240,300,big,25,3,3,64.6958758831
10240,300,big,25,3,4,64.9133081436
10240,300,big,25,3,5,64.4315741062
10240,300,big,25,3,6,64.608590126
10240,300,big,25,3,7,64.7901899815
10240,300,big,25,3,8,64.163421154
10240,300,big,25,3,9,64.7597219944
10240,300,big,50,3,1,65.5370190144
10240,300,big,50,3,2,65.6390929222
10240,300,big,50,3,3,65.1674289703
10240,300,big,50,3,4,65.0146081448
10240,300,big,50,3,5,65.3512539864
10240,300,big,50,3,6,64.7420790195
10240,300,big,50,3,7,65.3488061428
10240,300,big,50,3,8,86.4308719635
10240,300,big,50,3,9,65.0419211388
10240,300,big,75,3,1,65.0210399628
10240,300,big,75,3,2,65.3391468525
10240,300,big,75,3,3,64.6655640602
10240,300,big,75,3,4,64.9471831322
10240,300,big,75,3,5,65.4440979958
10240,300,big,75,3,6,71.9476699829
10240,300,big,75,3,7,65.5984129906
10240,300,big,75,3,8,65.2275981903
10240,300,big,75,3,9,65.1197061539
10240,300,big,100,3,1,65.0179021358
10240,300,big,100,3,2,64.9030752182
10240,300,big,100,3,3,65.8435769081
10240,300,big,100,3,4,64.9624340534
10240,300,big,100,3,5,65.277256012
10240,300,big,100,3,6,65.6139671803
10240,300,big,100,3,7,64.5123810768
10240,300,big,100,3,8,65.8699820042
10240,300,big,100,3,9,65.1575548649
10240,300,big,200,3,1,64.8288450241
10240,300,big,200,3,2,64.653316021
10240,300,big,200,3,3,65.2375278473
10240,300,big,200,3,4,69.0816431046
10240,300,big,200,3,5,65.7593739033
10240,300,big,200,3,6,64.6494419575
10240,300,big,200,3,7,65.00476408
10240,300,big,200,3,8,65.5527858734
10240,300,big,200,3,9,65.2318849564
10240,300,big,400,3,1,64.94135499
10240,300,big,400,3,2,85.7311651707
10240,300,big,400,3,3,64.9602539539
10240,300,big,400,3,4,69.2511379719
10240,300,big,400,3,5,65.420153141
10240,300,big,400,3,6,65.346807003
10240,300,big,400,3,7,64.64625597
10240,300,big,400,3,8,64.9808561802
10240,300,big,400,3,9,64.5803370476
10240,400,big,4,3,1,155.199826002
10240,400,big,4,3,2,138.350306988
10240,400,big,4,3,3,152.444513083
10240,400,big,4,3,4,153.908854008
10240,400,big,4,3,5,130.911499023
10240,400,big,4,3,6,154.884457827
10240,400,big,4,3,7,132.921043873
10240,400,big,4,3,8,112.214280844
10240,400,big,4,3,9,163.731495857
10240,400,big,10,3,1,154.77336812
10240,400,big,10,3,2,84.148017168
10240,400,big,10,3,3,113.145459175
10240,400,big,10,3,4,151.838207006
10240,400,big,10,3,5,127.547627926
10240,400,big,10,3,6,156.258511066
10240,400,big,10,3,7,129.406126976
10240,400,big,10,3,8,140.172169924
10240,400,big,10,3,9,163.784384966
10240,400,big,25,3,1,137.037025928
10240,400,big,25,3,2,126.188243151
10240,400,big,25,3,3,127.602221966
10240,400,big,25,3,4,151.799751997
10240,400,big,25,3,5,109.808633804
10240,400,big,25,3,6,165.040789127
10240,400,big,25,3,7,125.510259867
10240,400,big,25,3,8,170.688333035
10240,400,big,25,3,9,111.66072011
10240,400,big,50,3,1,129.308022976
10240,400,big,50,3,2,157.073712111
10240,400,big,50,3,3,115.838413954
10240,400,big,50,3,4,146.451387882
10240,400,big,50,3,5,130.739541054
10240,400,big,50,3,6,137.138003111
10240,400,big,50,3,7,148.448609114
10240,400,big,50,3,8,140.445761919
10240,400,big,50,3,9,148.426165104
10240,400,big,75,3,1,122.661644936
10240,400,big,75,3,2,112.09861207
10240,400,big,75,3,3,165.464219093
10240,400,big,75,3,4,106.297802925
10240,400,big,75,3,5,147.557399988
10240,400,big,75,3,6,151.942498922
10240,400,big,75,3,7,96.137556076
10240,400,big,75,3,8,140.657391071
10240,400,big,75,3,9,154.122208118
10240,400,big,100,3,1,151.698162079
10240,400,big,100,3,2,148.280417204
10240,400,big,100,3,3,163.873804808
10240,400,big,100,3,4,155.551435947
10240,400,big,100,3,5,122.058870077
10240,400,big,100,3,6,165.150373936
10240,400,big,100,3,7,151.253735065
10240,400,big,100,3,8,138.965229034
10240,400,big,100,3,9,164.780986071
10240,400,big,200,3,1,159.407120943
10240,400,big,200,3,2,163.442936897
10240,400,big,200,3,3,153.349810123
10240,400,big,200,3,4,139.274180889
10240,400,big,200,3,5,126.589409113
10240,400,big,200,3,6,142.949956894
10240,400,big,200,3,7,178.851486921
10240,400,big,200,3,8,142.768518925
10240,400,big,200,3,9,140.204673052
10240,400,big,400,3,1,113.945861101
10240,400,big,400,3,2,156.225368023
10240,400,big,400,3,3,141.727175951
10240,400,big,400,3,4,145.404507875
10240,400,big,400,3,5,113.082836151
10240,400,big,400,3,6,115.047177076
10240,400,big,400,3,7,163.157392979
10240,400,big,400,3,8,152.182409048
10240,400,big,400,3,9,146.66971302
10240,500,big,4,3,1,330.971543074
10240,500,big,4,3,2,316.269173145
10240,500,big,4,3,3,331.292627096
10240,500,big,4,3,4,320.604931116
10240,500,big,4,3,5,305.097936869
10240,500,big,4,3,6,346.668241024
10240,500,big,4,3,7,314.06426096
10240,500,big,4,3,8,344.271206856
10240,500,big,4,3,9,355.08711195
10240,500,big,10,3,1,246.458295822
10240,500,big,10,3,2,301.75988102
10240,500,big,10,3,3,285.331889868
10240,500,big,10,3,4,342.926570892
10240,500,big,10,3,5,243.736649036
10240,500,big,10,3,6,361.703043938
10240,500,big,10,3,7,310.065496922
10240,500,big,10,3,8,306.341165066
10240,500,big,10,3,9,308.523951054
10240,500,big,25,3,1,329.414867878
10240,500,big,25,3,2,304.485363007
10240,500,big,25,3,3,326.087278843
10240,500,big,25,3,4,320.782601118
10240,500,big,25,3,5,307.381194115
10240,500,big,25,3,6,349.917093039
10240,500,big,25,3,7,321.539270878
10240,500,big,25,3,8,360.796581984
10240,500,big,25,3,9,325.828139067
10240,500,big,50,3,1,343.084614038
10240,500,big,50,3,2,332.710043907
10240,500,big,50,3,3,358.196934938
10240,500,big,50,3,4,299.326894045
10240,500,big,50,3,5,341.33541894
